Country,Year,Suicides per 100k
Russia,1989,398.82
Russia,1990,399.17
Russia,1991,396.4
Russia,1992,437.48
Russia,1993,522.06
Russia,1994,567.64
Russia,1995,547.38
Russia,1996,526.28
Russia,1997,508.09
Russia,1998,474.74
Russia,1999,510.13
Russia,2000,504.47
Russia,2001,504.65
Russia,2002,488.55
Russia,2003,468.91
Russia,2004,447.61
Russia,2005,420.34
Russia,2006,401.31
Russia,2007,386.99
Russia,2008,366.8
Russia,2009,352.8
Russia,2010,319.21
Russia,2011,299.68
Russia,2012,285.51
Russia,2013,273.97
Russia,2014,259.22
Russia,2015,236.92
