Location,Mild,Moderate,Serious
Alabama,68.3,58.8,38.0
Alaska,69.2,57.7,45.7
Arizona,71.3,55.5,36.0
Arkansas,65.5,39.0,33.1
California,71.0,64.6,39.1
Colorado,69.8,51.2,27.7
Connecticut,65.8,48.3,34.6
Delaware,74.9,46.2,35.5
District of Columbia,59.4,53.6,47.0
Florida,78.7,61.3,34.6
Georgia,73.1,59.9,46.6
Hawaii,78.7,70.7,40.8
Idaho,60.9,52.1,37.9
Illinois,65.5,41.2,36.1
Indiana,68.9,60.0,31.2
Iowa,57.2,32.2,35.7
Kansas,65.5,53.8,30.2
Kentucky,67.3,49.6,30.4
Louisiana,75.3,45.6,44.3
Maine,59.3,43.4,31.7
Maryland,71.6,57.9,34.3
Massachusetts,55.1,35.6,29.6
Michigan,71.5,48.8,32.1
Minnesota,61.0,36.2,26.8
Mississippi,72.8,63.8,32.9
Missouri,64.5,42.5,39.8
Montana,60.5,47.4,35.8
Nebraska,57.2,38.7,38.4
Nevada,77.4,52.3,37.2
New Hampshire,63.1,47.7,32.4
New Jersey,69.7,53.5,35.6
New Mexico,58.4,61.2,40.4
New York,68.8,57.2,34.3
North Carolina,61.4,53.7,29.4
North Dakota,61.1,56.1,19.7
Ohio,63.4,50.7,30.5
Oklahoma,64.5,52.3,45.2
Oregon,66.0,45.7,43.0
Pennsylvania,62.5,51.0,32.0
Rhode Island,59.1,45.7,38.3
South Carolina,68.5,53.2,37.1
South Dakota,71.5,53.2,23.9
Tennessee,65.9,57.5,30.1
Texas,69.8,57.4,44.7
Utah,62.0,51.5,24.4
Vermont,51.0,44.3,25.6
Virginia,69.0,49.8,29.2
Washington,71.6,43.9,36.6
West Virginia,67.5,49.8,22.8
Wisconsin,56.7,57.8,14.4
Wyoming,77.0,61.7,29.9
